fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,dividendPayout,dividendPayoutCommonStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,netIncome
2024-09-30,USD,118254000000.0,1900000000.0,21572000000.0,17921000000.0,11445000000.0,9447000000.0,5144000000.0,1046000000.0,93736000000.0,2935000000.0,-121983000000.0,7920000000.0,94949000000.0,94949000000.0,15234000000.0,15234000000.0,0.0,0.0,-94949000000.0,0.0,93736000000.0
2023-09-30,USD,110543000000.0,5703000000.0,1142000000.0,7719000000.0,11519000000.0,10959000000.0,417000000.0,1618000000.0,96995000000.0,3705000000.0,-108488000000.0,-7956000000.0,77550000000.0,77550000000.0,15025000000.0,15025000000.0,0.0,5228000000.0,-77550000000.0,5760000000.0,96995000000.0
2022-09-30,USD,122151000000.0,4665000000.0,15558000000.0,14358000000.0,11104000000.0,10708000000.0,9343000000.0,-1484000000.0,99803000000.0,-22354000000.0,-110749000000.0,7910000000.0,89402000000.0,89402000000.0,14841000000.0,14841000000.0,0.0,5465000000.0,-89402000000.0,-10952000000.0,99803000000.0
2021-09-30,USD,104038000000.0,4087000000.0,19801000000.0,24712000000.0,11284000000.0,11085000000.0,14028000000.0,2642000000.0,94680000000.0,-14545000000.0,-93353000000.0,2044000000.0,85971000000.0,85971000000.0,14467000000.0,14467000000.0,1105000000.0,20393000000.0,-84866000000.0,-3860000000.0,94680000000.0
2020-09-30,USD,80674000000.0,4502000000.0,6935000000.0,1245000000.0,11056000000.0,7309000000.0,-8470000000.0,127000000.0,57411000000.0,-4289000000.0,-86820000000.0,-1926000000.0,72358000000.0,72358000000.0,14081000000.0,14081000000.0,880000000.0,16091000000.0,-71478000000.0,-10435000000.0,57411000000.0
2019-09-30,USD,69391000000.0,3423000000.0,-7248000000.0,-3760000000.0,12547000000.0,10495000000.0,-3176000000.0,289000000.0,55256000000.0,45896000000.0,-90976000000.0,-11954000000.0,66897000000.0,66897000000.0,14119000000.0,14119000000.0,781000000.0,6963000000.0,-66116000000.0,24311000000.0,55256000000.0
2018-09-30,USD,77434000000.0,3022000000.0,47665000000.0,12927000000.0,10903000000.0,13313000000.0,13332000000.0,-828000000.0,59531000000.0,16066000000.0,-87876000000.0,-74000000.0,72738000000.0,72738000000.0,13712000000.0,13712000000.0,669000000.0,6969000000.0,-72069000000.0,5624000000.0,59531000000.0
2017-09-30,USD,64225000000.0,2092000000.0,8838000000.0,14388000000.0,10157000000.0,12795000000.0,6347000000.0,2723000000.0,48351000000.0,-46446000000.0,-17974000000.0,7704000000.0,32900000000.0,32900000000.0,12769000000.0,12563000000.0,555000000.0,28662000000.0,-32345000000.0,-195000000.0,48351000000.0
2016-09-30,USD,66231000000.0,1316000000.0,-1867000000.0,-2351000000.0,10505000000.0,13548000000.0,-1044000000.0,-217000000.0,45687000000.0,-45977000000.0,-20890000000.0,-794000000.0,29722000000.0,29722000000.0,12150000000.0,11965000000.0,495000000.0,24954000000.0,-29227000000.0,-636000000.0,45687000000.0
2015-09-30,USD,81266000000.0,514000000.0,15188000000.0,-194000000.0,9200000000.0,11488000000.0,-611000000.0,238000000.0,53394000000.0,-56274000000.0,-17716000000.0,4382000000.0,35253000000.0,35253000000.0,11561000000.0,11561000000.0,543000000.0,27114000000.0,-34710000000.0,7276000000.0,53394000000.0
2014-09-30,USD,109133000000.0,339000000.0,13408000000.0,6361000000.0,1100000000.0,9571000000.0,6452000000.0,76000000.0,39510000000.0,-22579000000.0,-37549000000.0,6306000000.0,45000000000.0,45000000000.0,11031000000.0,11126000000.0,730000000.0,11960000000.0,-44270000000.0,-415000000.0,39510000000.0
2013-09-30,USD,53666000000.0,0.0,8320000000.0,1842000000.0,960000000.0,8165000000.0,1949000000.0,973000000.0,37037000000.0,-33774000000.0,-16379000000.0,0.0,22860000000.0,22860000000.0,10528000000.0,10564000000.0,530000000.0,16896000000.0,-22330000000.0,3513000000.0,37037000000.0
2012-09-30,USD,50856000000.0,0.0,9843000000.0,10142000000.0,605000000.0,8295000000.0,6965000000.0,15000000.0,41733000000.0,-48227000000.0,-1698000000.0,0.0,0.0,0.0,2488000000.0,2488000000.0,665000000.0,0.0,665000000.0,931000000.0,41733000000.0
2011-09-30,USD,37529000000.0,0.0,8664000000.0,2907000000.0,192000000.0,4260000000.0,1791000000.0,-275000000.0,25922000000.0,-40419000000.0,1444000000.0,0.0,0.0,0.0,0.0,0.0,831000000.0,0.0,831000000.0,-1446000000.0,25922000000.0
2010-09-30,USD,18595000000.0,0.0,8302000000.0,5576000000.0,69000000.0,2005000000.0,4860000000.0,596000000.0,14013000000.0,-13854000000.0,1257000000.0,0.0,0.0,0.0,0.0,0.0,912000000.0,0.0,912000000.0,5998000000.0,14013000000.0
2009-09-30,USD,10159000000.0,0.0,452000000.0,1787000000.0,703000000.0,1144000000.0,939000000.0,-54000000.0,8235000000.0,-17434000000.0,663000000.0,0.0,0.0,0.0,0.0,0.0,475000000.0,0.0,475000000.0,-6612000000.0,8235000000.0
